ENGLISH,ARABIC
you,أنت
I or I.,أنا أو أنا
to,ل
the,ال
a or A.,أ أو أ.
and,و
that,الذي - التي
it,هو - هي
of,من
me,أنا
what,ماذا او ما
is,هو
in,في
this,هذه
know,أعرف
I'm,انا
for,ل
no,لا
have,لديك
my,لي
don't,لا
just,مجرد
not,ليس
do,فعل
be,يكون
on,تشغيل
your,لك
was,كان
we,نحن
it's,إنه
with,مع
so,لذا
but,لكن
all,الكل
well,نحن سوف
are,نكون
he,هو
oh,أوه
about,حول
right,حق
you're,أنت على
get,احصل على
here,هنا
out,خارج
going,ذاهب
like,مثل
yeah,بلى
if,لو
her,ها
she,هي
can,تستطيع
up,فوق
want,تريد
think,فكر في
that's,هذا
now,الآن
go,اذهب
him,له
at,في
how,كيف
got,حصلت
there,هناك
one,واحد
did,فعل
why,لماذا
see,يرى
come,تأتي
good,جيد
they,أنهم
really,هل حقا
as,مثل
would,سيكون
look,بحث
when,متى
time,الوقت
will,إرادة
okay,حسنا
back,الى الخلف
can't,لا
mean,تعني
tell,يخبار
I'll,مريض
from,من عند
hey,مهلا
were,كانوا
he's,انه
could,يستطع
didn't,لم تفعل ذلك
yes,نعم
his,له
been,ايضا
or,أو
something,شيئا ما
who,منظمة الصحة العالمية
because,لان
some,بعض
had,ملك
then,من ثم
say,قل
ok,موافق
take,يأخذ
an,أ
way,طريق
us,نحن
little,القليل
make,صنع
need,بحاجة إلى
gonna,سوف
never,مطلقا
we're,كانوا
too,جدا
love,حب
she's,هي
I've,لقد قمت
sure,بالتأكيد
them,معهم
more,أكثر
over,على
our,لنا
sorry,آسف
where,أين
what's,ما هى
let,يترك
thing,شيء
am,صباحا
maybe,يمكن
down,تحت
man,رجل
has,لديها
uh,أوه
very,جداً
by,بواسطة
there's,هناك
should,ينبغي
anything,اى شى
said,قالت
much,كثيراً
any,أي
life,الحياة
even,حتى في
off,إيقاف
please,من فضلك
doing,عمل
thank,شكر
give,يعطى
only,فقط
thought,فكر
help,مساعدة
two,اثنين
talk,حديث
people,اشخاص
god,الله
still,ما يزال
wait,انتظر
into,داخل
find,تجد
nothing,لا شيئ
again,تكرارا
things,أشياء
let's,دعونا
doesn't,لا
call,يتصل
told,أخبر
great,عظيم
before,قبل
better,أفضل
ever,أبدًا
night,ليل
than,من
away,بعيدا
first,أول
believe,يصدق
other,آخر
feel,شعور
everything,كل شىء
work,الشغل
you've,لديك
fine,بخير
home,الصفحة الرئيسية
